"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","30,770.0","30,375.0","30,957.7","30,321.2","68.65K","1.28%"
"04/13/2023","30,380.8","29,888.1","30,514.5","29,859.8","51.94K","1.67%"
"04/12/2023","29,880.4","30,208.7","30,473.6","29,675.3","62.04K","-1.07%"
"04/11/2023","30,203.8","29,659.3","30,469.6","29,594.4","67.99K","1.91%"
"04/10/2023","29,637.5","28,333.9","29,748.6","28,182.3","67.75K","4.64%"
"04/09/2023","28,323.8","27,938.4","28,520.5","27,805.1","32.53K","1.38%"
"04/08/2023","27,938.4","27,906.3","28,150.0","27,859.1","19.48K","0.11%"
"04/07/2023","27,906.3","28,033.8","28,098.9","27,771.8","24.76K","-0.45%"
"04/06/2023","28,032.7","28,170.0","28,170.0","27,730.0","40.12K","-0.49%"
"04/05/2023","28,172.0","28,167.9","28,734.8","27,822.0","60.74K","0.04%"
"04/04/2023","28,161.7","27,805.6","28,430.3","27,665.9","49.72K","1.30%"
"04/03/2023","27,800.0","28,171.6","28,454.4","27,259.6","79.17K","-1.41%"
"04/02/2023","28,196.3","28,453.4","28,523.5","27,866.0","37.34K","-0.90%"
"04/01/2023","28,452.7","28,476.8","28,794.1","28,282.2","30.24K","-0.07%"
"03/31/2023","28,473.1","28,026.0","28,647.9","27,586.7","78.20K","1.59%"
"03/30/2023","28,028.5","28,350.0","29,158.7","27,713.0","98.86K","-1.13%"
"03/29/2023","28,348.6","27,284.8","28,628.0","27,248.1","89.49K","3.99%"
"03/28/2023","27,261.1","27,124.9","27,458.7","26,661.1","78.62K","0.49%"
"03/27/2023","27,126.9","27,958.0","28,019.3","26,602.1","88.04K","-3.01%"
"03/26/2023","27,970.2","27,461.6","28,148.6","27,426.1","49.68K","1.82%"
"03/25/2023","27,471.0","27,458.2","27,756.8","27,167.9","50.85K","0.06%"
"03/24/2023","27,454.2","28,305.4","28,362.7","27,019.1","86.26K","-2.97%"
"03/23/2023","28,295.4","27,244.5","28,729.5","27,136.5","128.65K","3.83%"
"03/22/2023","27,251.7","28,105.9","28,753.6","26,660.3","224.12K","-3.05%"
"03/21/2023","28,110.2","27,722.7","28,435.4","27,347.0","420.94K","1.43%"
"03/20/2023","27,714.9","27,986.0","28,453.6","27,152.9","477.43K","-0.86%"
"03/19/2023","27,955.5","26,921.4","28,344.4","26,842.0","372.05K","3.88%"
"03/18/2023","26,911.1","27,410.8","27,654.0","26,689.3","371.30K","-1.74%"
"03/17/2023","27,388.8","24,991.3","27,741.3","24,897.3","624.42K","9.55%"
"03/16/2023","25,001.5","24,280.5","25,135.5","24,142.9","439.41K","2.98%"
"03/15/2023","24,277.9","24,687.1","25,101.7","23,931.3","581.55K","-1.68%"
