date,close,open,high,low,vol,pct_change
4/14/2023,30770.00,30375.00,30957.70,30321.20,68.65K,1.28%
4/13/2023,30380.80,29888.10,30514.50,29859.80,51.94K,1.67%
4/12/2023,29880.40,30208.70,30473.60,29675.30,62.04K,-1.07%
4/11/2023,30203.80,29659.30,30469.60,29594.40,67.99K,1.91%
4/10/2023,29637.50,28333.90,29748.60,28182.30,67.75K,4.64%
4/9/2023,28323.80,27938.40,28520.50,27805.10,32.53K,1.38%
4/8/2023,27938.40,27906.30,28150.00,27859.10,19.48K,0.11%
4/7/2023,27906.30,28033.80,28098.90,27771.80,24.76K,-0.45%
4/6/2023,28032.70,28170.00,28170.00,27730.00,40.12K,-0.49%
4/5/2023,28172.00,28167.90,28734.80,27822.00,60.74K,0.04%
4/4/2023,28161.70,27805.60,28430.30,27665.90,49.72K,1.30%
4/3/2023,27800.00,28171.60,28454.40,27259.60,79.17K,-1.41%
4/2/2023,28196.30,28453.40,28523.50,27866.00,37.34K,-0.90%
4/1/2023,28452.70,28476.80,28794.10,28282.20,30.24K,-0.07%
3/31/2023,28473.10,28026.00,28647.90,27586.70,78.20K,1.59%
3/30/2023,28028.50,28350.00,29158.70,27713.00,98.86K,-1.13%
3/29/2023,28348.60,27284.80,28628.00,27248.10,89.49K,3.99%
3/28/2023,27261.10,27124.90,27458.70,26661.10,78.62K,0.49%
3/27/2023,27126.90,27958.00,28019.30,26602.10,88.04K,-3.01%
3/26/2023,27970.20,27461.60,28148.60,27426.10,49.68K,1.82%
3/25/2023,27471.00,27458.20,27756.80,27167.90,50.85K,0.06%
3/24/2023,27454.20,28305.40,28362.70,27019.10,86.26K,-2.97%
3/23/2023,28295.40,27244.50,28729.50,27136.50,128.65K,3.83%
3/22/2023,27251.70,28105.90,28753.60,26660.30,224.12K,-3.05%
3/21/2023,28110.20,27722.70,28435.40,27347.00,420.94K,1.43%
3/20/2023,27714.90,27986.00,28453.60,27152.90,477.43K,-0.86%
3/19/2023,27955.50,26921.40,28344.40,26842.00,372.05K,3.88%
3/18/2023,26911.10,27410.80,27654.00,26689.30,371.30K,-1.74%
3/17/2023,27388.80,24991.30,27741.30,24897.30,624.42K,9.55%
3/16/2023,25001.50,24280.50,25135.50,24142.90,439.41K,2.98%
3/15/2023,24277.90,24687.10,25101.70,23931.30,581.55K,-1.68%
